model,count,mean,std,high_conf_ratio
tts_models_multilingual_multi-dataset_bark,32000,0.8105420892372642,0.34915264013922204,0.74084375
tts_models_multilingual_multi-dataset_xtts_v2,17000,0.40968341367437233,0.4231249075959984,0.27488235294117647
tts_models_multilingual_multi-dataset_xtts_v1.1,14000,0.2635326867570291,0.3904517359484644,0.17664285714285713
griffin_lim,8000,0.989512015259481,0.08274144680616524,0.981125
OpenVoiceV2,4000,0.09599391970901319,0.26980321067882074,0.0685
vixTTS,2000,0.010328302077326157,0.08460425387255857,0.004
WhisperSpeech,2000,0.16939228038037207,0.33113624029141686,0.105
tts_models_fa_custom_glow-tts,1000,0.014402070633572748,0.11144728809509671,0.011
tts_models_hr_cv_vits,1000,0.013453869104146178,0.10011834206388412,0.008
tts_models_ga_cv_vits,1000,0.005408011126667134,0.06637377644275494,0.003
tts_models_fr_mai_tacotron2-DDC,1000,0.050971373472708366,0.19796581459110357,0.036
tts_models_fr_css10_vits,1000,0.09691302992880538,0.2550238877901777,0.053
tts_models_fi_css10_vits,1000,0.3464863086609548,0.4025066942632476,0.205
tts_models_et_cv_vits,1000,0.41114133425918314,0.4123821007186341,0.262
tts_models_it_mai_female_glow-tts,1000,0.25590785778299685,0.37034424357346035,0.155
tts_models_es_mai_tacotron2-DDC,1000,0.01914000774718943,0.11769001104821421,0.012
tts_models_es_css10_vits,1000,0.940997404630878,0.19871284773600287,0.902
tts_models_en_sam_tacotron-DDC,1000,0.007806789459321408,0.0795054972139137,0.005
tts_models_en_multi-dataset_tortoise-v2,1000,0.9625832765554806,0.15030778076142154,0.931
tts_models_en_ljspeech_vits--neon,1000,0.9811928547886201,0.10738349705499702,0.961
tts_models_en_ljspeech_vits,1000,0.9887361213825643,0.06846762108314951,0.97
tts_models_en_ljspeech_tacotron2-DDC_ph,1000,0.9455485614050995,0.17656815628544784,0.898
tts_models_en_ljspeech_tacotron2-DDC,1000,0.7614463012617343,0.3457726059829517,0.606
tts_models_hu_css10_vits,1000,0.7467029561308082,0.37238073976601443,0.646
tts_models_it_mai_male_vits,1000,7.697474844917451e-06,8.245206517180383e-06,0.0
tts_models_it_mai_female_vits,1000,0.0011927782527659473,0.03188068420999519,0.001
tts_models_sk_cv_vits,1000,0.03643577420079509,0.16552955376259285,0.023
tts_models_zh-CN_baker_tacotron2-DDC-GST,1000,0.8045581788548661,0.322679224645469,0.685
tts_models_uk_mai_vits,1000,0.4600431107640943,0.43588132376944144,0.332
tts_models_uk_mai_glow-tts,1000,0.00995831084120482,0.0914692403813755,0.006
tts_models_tr_common-voice_glow-tts,1000,0.005378971869626639,0.05978933317228095,0.003
tts_models_sv_cv_vits,1000,0.04922254181835933,0.1993777301807199,0.034
tts_models_sl_cv_vits,1000,0.17158541116850484,0.32554812378672376,0.096
tts_models_ro_cv_vits,1000,0.5494555674917255,0.41967104942064876,0.387
tts_models_it_mai_male_glow-tts,1000,0.31902352800908645,0.4088877268520434,0.221
tts_models_pt_cv_vits,1000,0.01707891474844564,0.10838417047448663,0.006
tts_models_pl_mai_female_vits,1000,0.20365143135295147,0.35912983028400497,0.134
tts_models_mt_cv_vits,1000,0.2566840979898234,0.3756016058608105,0.152
tts_models_lv_cv_vits,1000,0.05288563215577187,0.1884856876247179,0.028
tts_models_lt_cv_vits,1000,0.4898084907776665,0.424036610438717,0.331
tts_models_en_ljspeech_speedy-speech,1000,0.01117448720012817,0.09361264812847314,0.006
tts_models_en_ljspeech_tacotron2-DCA,1000,0.6040161787726974,0.41317710564003846,0.443
Mars5,1000,0.7647103726490814,0.3751200091653327,0.673
tts_models_en_ljspeech_overflow,1000,0.6636655109248458,0.382585356580174,0.487
facebook_mms-tts-hun,1000,0.7364384858416306,0.37740386126473735,0.619
optispeech,1000,0.9991925393640995,0.02330277102303766,0.999
microsoft_speecht5_tts,1000,0.04238776016064139,0.18499242733998134,0.027
facebook_mms-tts-ukr,1000,0.11977665677661026,0.26972113126394737,0.059
facebook_mms-tts-swe,1000,0.47920039656719016,0.413360757644286,0.305
facebook_mms-tts-rus,1000,0.9652647452140227,0.14155675471032073,0.932
facebook_mms-tts-ron,1000,0.9942711328119039,0.046074593924605764,0.986
facebook_mms-tts-nld,1000,0.8194993328549026,0.30456064185075604,0.691
facebook_mms-tts-fra,1000,0.9656315316396067,0.14597707543711314,0.936
parler_tts_mini_v0.1,1000,0.976488180831424,0.1187459194056191,0.957
facebook_mms-tts-fin,1000,0.947291719827801,0.1773618584846795,0.91
facebook_mms-tts-eng,1000,0.8388726039951926,0.31185537126478896,0.75
facebook_mms-tts-deu,1000,0.8189050788922614,0.32085438454043896,0.709
f5-tts,1000,0.7717926252292782,0.35539562843384015,0.658
e2-tts,1000,0.7857777139926156,0.3470518877978983,0.678
Metavoice-1B,1000,0.9504373779399903,0.17369700719314035,0.914
MeloTTS,1000,0.6693306697707249,0.4197331099009261,0.565
parler_tts_large_v1,1000,0.9884510169662535,0.07165747444497557,0.976
parler_tts_mini_v1,1000,0.9830808963032323,0.10270960752361757,0.969
MatchaTTS,1000,0.410572259802314,0.4385551635609722,0.31
tts_models_de_thorsten_tacotron2-DDC,1000,0.996810155342333,0.04616451119612246,0.993
tts_models_en_ljspeech_glow-tts,1000,0.06515093224447265,0.20825937801095187,0.032
tts_models_en_ljspeech_fast_pitch,1000,0.3061740938210714,0.37741955760484447,0.166
tts_models_en_jenny_jenny,1000,0.9527475427047466,0.16810800597994738,0.915
tts_models_en_ek1_tacotron2,1000,0.2070458682809376,0.35075460671267217,0.127
tts_models_en_blizzard2013_capacitron-t2-c50,1000,0.4301666861851322,0.43204752145945235,0.299
tts_models_el_cv_vits,1000,0.6326153887600117,0.4327639872451972,0.534
tts_models_de_thorsten_vits,1000,0.9958162831002846,0.05609006203134788,0.994
tts_models_de_thorsten_tacotron2-DCA,1000,0.16768778132292209,0.3243011650202882,0.097
suno_bark,1000,0.8355470460138222,0.32544421478318236,0.762
tts_models_de_css10_vits-neon,1000,0.8470610112213471,0.30862300161899725,0.768
tts_models_da_cv_vits,1000,0.016636134119627513,0.11627557267262391,0.01
tts_models_cs_cv_vits,1000,0.030185672611454266,0.14933778340150486,0.015
tts_models_bn_custom_vits-male,1000,0.9966663769475345,0.05341418496602112,0.996
tts_models_bn_custom_vits-female,1000,0.9951136187256415,0.056096156393658274,0.993
tts_models_bg_cv_vits,1000,0.13688390450850282,0.301307975772261,0.08
suno_bark-small,1000,0.5974067051377079,0.4430858778752977,0.506
tts_models_en_ljspeech_neural_hmm,1000,0.30493379407641624,0.3811943606893448,0.167
